seccion,grupo,ruta,ruta_color,codigo_anterior,codigo_anterior_color,alias,origen,destino,empresa,abreviacion
actual,Rutas 1000,1001,#FFFFFF,1117,#FFFFFF,,Santiago de Surco,San Isidro,¿?,
actual,Rutas 1000,1002,#004F08,1118,#FFFFFF,,La Punta,La Victoria,¿?,
actual,Rutas 1000,1003,#FFE600,IO33B,#FFE600,La 9,Puente Piedra,Rímac,Empresa de Transportes Rosa de las Américas S.A.C. (ETROASAC),ETROASAC
actual,Rutas 1000,1004,#FF6417,1212,#FF6417,,Comas,San Martín de Porres,Empresa de Transportes Doce de Junio S.A. (ETDOJUSA),ETDOJUSA
actual,Rutas 1000,1005,#FF0000,1217,#FF0000,La 13,Carabayllo,Rímac,Transportes y Servicios Santa Cruz S.A.,
actual,Rutas 1000,1006,#0CB7F2,1403,#0CB7F2,La C,Carabayllo,Ate,Empresa de Transportes Impulsa Progreso S.A.C.,
actual,Rutas 1000,1007,#FFCD82,1502,#FFCD82,La 87B,Puente Piedra,Lima,Empresa de Transportes y Servicios Amancaes S.A. (ETAMSA),ETAMSA
actual,Rutas 1000,1008,#210BA3,1503,#210BA3,La 03,Carabayllo,Magdalena del Mar,Grupo Express del Perú S.A.C. (GEP) / Realidad Express del Perú 03 S.A.C. (REX),REX
actual,Rutas 1000,1009,#762CB9,1504,#762CB9,La 06,Carabayllo,San Miguel,Empresa de Transportes Comercializadora e Importadora Unidos Punchauca S.A. (ETCIPSA),ETCIPSA
actual,Rutas 1000,1010,#143AB8,1505,#143AB8,La 46B,Puente Piedra,Magdalena del Mar,Empresa de Transportes Mariscal Ramón Castilla S.A. (ETMRCSA),ETMRCSA
actual,Rutas 1000,1011,#007DC4,1506,#007DC4,La 47,Carabayllo,Pueblo Libre,Translima S.A.,
actual,Rutas 1000,1012,#FF0F0F,1508,#FF0F0F,La B,Carabayllo,San Miguel,Empresa de Servicios de Transporte Unión Nacional S.A.C. (ESTUNSAC),ESTUNSAC
actual,Rutas 1000,1013,#017BA1,1518,#017BA1,La 18,Carabayllo,Jesús María,Translima S.A.,
actual,Rutas 1000,1014,#26913B,1602,#26913B,,Comas,San Luis,Empresa de Transportes y Servicios Catorce de Diciembre S.A.C.,
actual,Rutas 1000,1015,#121213,1604,#121213,La MG,Carabayllo,Lince,Empresa de Transportes Miguel Grau S.A. (ETMIGRASA),ETMIGRASA
actual,Rutas 1000,1016,#0000B3,1607,#0000B3,,Ancón,La Victoria,Empresa de Transportes y Servicios La Buena Estrella S.A.C. / Corporación Las Estrellas S.A.C.,
actual,Rutas 1000,1017,#0000BF,1608,#0000BF,,Ancón,La Victoria,Novobus S.A.C. / Corporación Las Estrellas S.A.C.,
actual,Rutas 1000,1018,#56CCA1,1610,#56CCA1,,Carabayllo,La Victoria,Empresa de Transportes Once de Noviembre S.A. (EMPTONSA),EMPTONSA
actual,Rutas 1000,1019,#D10F0F,1611,#D10F0F,La P,Puente Piedra,Magdalena del Mar,Empresa de Transportes Palmari S.A. / Grupo Empresarial El Rápido S.A.,
actual,Rutas 1000,1020,#264720,1612,#264720,La C,Puente Piedra,Miraflores,Empresa de Transportes Santa Luzmila S.A. (ETSLUSA),ETSLUSA
actual,Rutas 1000,1021,#D10F0F,1615,#D10F0F,La F,Carabayllo,Lince,Inversiones y Servicios CKF S.A. / Grupo Empresarial El Rápido S.A.,
actual,Rutas 1000,1022,#D10F0F,1617,#D10F0F,,Carabayllo,Miraflores,Trans. Norcom Corporation S.A.C. / Grupo Empresarial El Rápido S.A.,
actual,Rutas 1000,1023,#FA8E00,1618,#FA8E00,La B,Carabayllo,Lince,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),TRANSNASA
actual,Rutas 1000,1024,#00BBFF,2204,#00BBFF,La U - La A - La B - La C,San Martín de Porres,San Martín de Porres,Empresa de Transportes Nor Lima S.A. (ETNOLSA),ETNOLSA
actual,Rutas 1000,1025,#006614,2209,#006614,La 73B,San Martín de Porres,Rímac,Empresa de Transportes Unidos de Pasajeros S.A. (ETUPSA),ETUPSA
actual,Rutas 1000,1026,#0F8A01,2212,#0F8A01,La S2,San Martín de Porres,Rímac,Empresa de Transportes Especial Solidaridad S.A. (EMTESSA),EMTESSA
actual,Rutas 1000,1027,#0C0E52,2412,#0C0E52,La 100,Rímac,Ate,Cooperativa de Transporte Comité Cien Ltda.,
actual,Rutas 1000,1028,#FFAA00,2502,#FFAA00,La B,San Martín de Porres,Lima,Empresa de Transportes y Servicios Pacific International S.A. (ETRASERPISA),ETRASERPISA
actual,Rutas 1000,1029,#036900,2510,#036900,,Independencia,San Miguel,Empresa de Transportes Alipio Ponce Vásquez S.A. (ETALPOVASA),ETALPOVASA
actual,Rutas 1000,1030,#002BD9,2511,#002BD9,,San Martín de Porres,San Martín de Porres,Empresa de Transportes Corazón de Jesús de San Diego S.A.,
actual,Rutas 1000,1031,#00FFEE,2513,#00FFEE,La 29,San Martín de Porres,Jesús María,Translima S.A.,
actual,Rutas 1000,1032,#F70707,2603,#F70707,La A,San Martín de Porres,La Victoria,Empresa de Transportes San Juan de La Cruz S.A.C. / Transportes y Servicios Lima Chorrillos S.A. (TRANSLICSA),TRANSLICSA
actual,Rutas 1000,1033,#0B148F,2604,#0B148F,La C,San Martín de Porres,La Victoria,Empresa de Transportes De Luxe S.A.C.,
actual,Rutas 1000,1034,#218F00,2607,#218F00,La 36,Rímac,La Victoria,Empresa Independiente de Transportes S.A. (EITSA),EITSA
actual,Rutas 1000,1035,#0B208C,2608,#0B208C,,Rímac,La Victoria,Empresa de Transportes y Servicios Especiales La Bala S.A.,
actual,Rutas 1000,1036,#FFB34F,2609,#FFB34F,,Rímac,La Victoria,Empresa de Transporte El Bajopontino S.A.,
actual,Rutas 1000,1037,#F20C0C,2611,#F20C0C,La B,San Martín de Porres,La Victoria,Transportes y Servicios Lima Chorrillos S.A. (TRANSLICSA),TRANSLICSA
actual,Rutas 1000,1038,#1E8000,2613,#1E8000,La 28 - La 504,San Martín de Porres,Lince,Empresa de Transportes y Servicios El Porvenir S.A. (ETEPSA),ETEPSA
actual,Rutas 1000,1039,#43B587,2901,#43B587,La 117,Independencia,Callao,Empresa de Transportes y Servicios 117 S.A. (ETSEDISA),ETSEDISA
actual,Rutas 1000,1040,#0044FF,3204,#0044FF,La SC - La San Ignacio,San Juan de Lurigancho,Rímac,Empresa de Transportes San Ignacio S.A. (ETSISA),ETSISA
actual,Rutas 1000,1041,#E81D1D,3403/TVE27,#E81D1D,,San Juan de Lurigancho,Chaclacayo,Empresa de Transporte Santa Rosa de Jicamarca S.A. (ETSRJSA),ETSRJSA
actual,Rutas 1000,1042,#FF0F0F,3405,#FF0F0F,La 75A,San Juan de Lurigancho,Ate,Empresa de Transportes Las Águilas 75 S.A. (ETLA75SA),ETLA75SA
actual,Rutas 1000,1043,#4F200C,3408,#4F200C,La 40,San Juan de Lurigancho,La Molina,Empresa de Transportes Cuarenta Integrada S.A. (ETRANCISA),ETRANCISA
actual,Rutas 1000,1044,#FF3F0F,3509,#FF3F0F,La 104,San Juan de Lurigancho,Jesús María,Transportes y Servicios 104 S.A.C.,
actual,Rutas 1000,1045,#90333B,3511,#90333B,La 52C,San Juan de Lurigancho,Magdalena del Mar,Empresa de Transportes Unidos S.A. (ETUSA),ETUSA
actual,Rutas 1000,1046,#17A108,3603,#17A108,,San Juan de Lurigancho,Lince,Transport Sabino S.A.C. (TRANSSABISAC),TRANSSABISAC
actual,Rutas 1000,1047,#7C47A1,3604,#7C47A1,La 10A,San Juan de Lurigancho,Miraflores,Empresa de Transportes Santo Cristo de Pachacamilla S.A. (ETRASCPSA),ETRASCPSA
actual,Rutas 1000,1048,#DB1212,3607,#DB1212,,San Juan de Lurigancho,Lince,Empresa de Transportes 12 de Enero S.A. (ETDESA),ETDESA
actual,Rutas 1000,1049,#258009,3611/TVE60,#258009,,San Juan de Lurigancho,La Victoria,Empresa de Transportes Caminos del Inca S.A. (ETCISA),ETCISA
actual,Rutas 1000,1050,#FFCC00,3613,#FFCC00,La R-I,San Juan de Lurigancho,Lince,Empresa de Transportes El Lobito S.A.C.,
actual,Rutas 1000,1051,#90333B,3614/TVE68,#90333B,La 52J,San Juan de Lurigancho,San Isidro,Empresa de Transportes Unidos S.A. (ETUSA),ETUSA
actual,Rutas 1000,1052,#1510B0,3701,#1510B0,La HA,San Juan de Lurigancho,San Juan de Miraflores,Empresa de Transportes HA de Servicios Múltiples de Propietarios Unidos Huáscar S.A. (ETHASEMPUHUASA),ETHASEMPUHUASA
actual,Rutas 1000,1053,#003CE0,3702,#003CE0,La H,San Juan de Lurigancho,Chorrillos,Empresa de Transportes y Servicios Múltiples Sur Lima S.A.,
actual,Rutas 1000,1054,#E3B03F,3705,#E3B03F,La E,San Juan de Lurigancho,Chorrillos,Empresa de Transporte Urbano Línea 4 S.A. (ETUL4SA),ETUL4SA
actual,Rutas 1000,1055,#FF0303,3707,#FF0303,La 31,San Juan de Lurigancho,Chorrillos,Transportes Lima Urban Company S.A.,
actual,Rutas 1000,1056,#B80000,3805,#B80000,La P,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes y Servicios Arco Iris S.A. (ETSAISA),ETSAISA
actual,Rutas 1000,1057,#0C5700,3806,#0C5700,La 23C,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Servicios de Transportes Santa Catalina S.A. (ESTSACASA),ESTSACASA
actual,Rutas 1000,1058,#D8D821,3807/TVE21,#D8D821,La R28,San Juan de Lurigancho,Lurín,Transportes Huáscar S.A,
actual,Rutas 1000,1059,#0C5700,3809,#0C5700,La 23B,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Servicios de Transporte Santa Catalina S.A. (ESTSACASA),ESTSACASA
actual,Rutas 1000,1060,#DE1212,3810,#DE1212,La 8,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Transportes y Servicios Ocho S.A. (ETSOSA),ETSOSA
actual,Rutas 1000,1061,#C5FF22,3813,#C5FF22,La M1,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes y Servicios Preferencial M1 S.A. (ETSPM1SA),ETSPM1SA
actual,Rutas 1000,1062,#FFF70A,3814,#FFF70A,La M1,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes Los Cuatro Suyos S.A. (ETCSSA),ETCSSA
actual,Rutas 1000,1063,#FFB60A,3815,#FFB60A,La M,San Juan de Lurigancho,Pachacámac,Empresa de Transportes y Servicios Múltiples Los Magníficos S.A. (ETYSERMULMASA) / Transportes Negociaciones Santa Anita S.A.,
actual,Rutas 1000,1064,#DB0000,4304,#DB0000,La 49,Lurigancho/Chosica,San Juan de Lurigancho,Empresa de Transportes Santa Rosa de Jicamarca S.A. (ETSRJSA),ETSRJSA
actual,Rutas 1000,1065,#00126E,4405,#00126E,La 91,Ate,Ate,Empresa de Transportes Nuevo Horizonte S.A. (ETNHOSA),ETNHOSA
actual,Rutas 1000,1066,#D5BC8B,4502,#D5BC8B,La HCT - El Huaycanero,Huaycán,Lima,Empresa de Transporte y Turismo Huaycán S.A. (ETRANTURHSA),ETRANTURHSA
actual,Rutas 1000,1067,#FF0F0F,4503,#FF0F0F,,Santa Anita,Lima,Empresa de Transportes y Servicios Peralitos S.A.,
actual,Rutas 1000,1068,#05016B,4504,#05016B,La HGK - El Huaycanero,Huaycán,Lima,Empresa de Servicios Múltiples Nuevo Perú S.A.,
actual,Rutas 1000,1069,#1F26FF,4507,#1F26FF,El Chosicano,Ricardo Palma,Lima,Empresa de Transportes y Servicios Nueva Era Señor de Muruhuay S.A. (ETSNESMSA),ETSNESMSA
actual,Rutas 1000,1070,#9C1414,4510,#9C1414,,Ate,Jesús María,Empresa de Transportes Bronco S.A. (ETBRONSA),ETBRONSA
actual,Rutas 1000,1071,#0758B5,4511,#0758B5,La IC,Ate,Lima,Multiservicios e Inversiones Virgen de Copacabana S.A.C. (MIVICOSAC),MIVICOSAC
actual,Rutas 1000,1072,#0013BA,4607,#0013BA,,Ate,La Victoria,Empresa de Transportes Unidos San Martín de Porres S.A. (ETUSMPSA),ETUSMPSA
actual,Rutas 1000,1073,#151F5C,4609,#151F5C,La B,Ate,San Isidro,Empresa de Transportes Nuestra Señora del Sagrado Corazón S.A. (ETNUSSACSA),ETNUSSACSA
actual,Rutas 1000,1074,#1E2C82,4610,#1E2C82,La B - La 112,Ate,San Isidro,Empresa de Transportes Miraflores Monterrico S.A. (ETMIMSA),ETMIMSA
actual,Rutas 1000,1075,#00008A,4611,#00008A,La 51,Lurigancho/Chosica,La Victoria,Empresa de Transportes y Servicios San Juan Bautista S.A. (ETSSJBSA),ETSSJBSA
actual,Rutas 1000,1076,#00990A,4612,#00990A,,Huaycán,La Victoria,Empresa de Transportes y Servicios Múltiples Comercialización 14 de Mayo S.A.C.,
actual,Rutas 1000,1077,#006B0B,4613,#006B0B,,Huaycán,La Victoria,Transportes y Servicios Múltiples Perla de Los Andes S.A.C. (TRASMPERSAC),TRASMPERSAC
actual,Rutas 1000,1078,#75574D,4614,#75574D,La 63,Ate,La Victoria,Empresa de Transportes y Servicios Sesentitrés S.A.,
actual,Rutas 1000,1079,#0013BA,4618,#0013BA,,Ate,La Victoria,Empresa de Transportes Unidos San Martín de Porres S.A. (ETUSMPSA),ETUSMPSA
actual,Rutas 1000,1080,#1BBFA4,4619,#1BBFA4,La HCT - El Huaycanero,Huaycán,La Victoria,Empresa de Transporte y Turismo Huaycán S.A. (ETRANTURHSA),ETRANTURHSA
actual,Rutas 1000,1081,#D61406,4620,#D61406,,Huaycán,La Victoria,Empresa de Transportes Urbano Huaycán S.A.,
actual,Rutas 1000,1082,#FFEF08,4622,#FFEF08,,Ate,Miraflores,Empresa de Transporte Angamos S.A.,
actual,Rutas 1000,1083,#FFA229,4623,#FFA229,,Huaycán,La Victoria,Transportes e Inversiones Sin Fronteras S.A.C.,
actual,Rutas 1000,1084,#070A66,4703,#070A66,La 91,Ate,Chorrillos,Empresa de Transportes Consorcio Santo Cristo S.A.,
actual,Rutas 1000,1085,#25A605,5401,#25A605,El Chosicano,Lima,Santa Eulalia,Empresa de Transportes y Servicios Turismo Carretera Central S.A.C. (EMTRACACE),EMTRACACE
actual,Rutas 1000,1086,#B8B097,6901,#B8B097,,San Borja,Callao,Empresa de Transportes Magdalena-San Miguel S.A. (ETRAMSMSA),ETRAMSMSA
actual,Rutas 1000,1087,#90333B,7501,#90333B,La 52T,Chorrillos,Jesús María,Empresa de Transportes Unidos S.A. (ETUSA),ETUSA
actual,Rutas 1000,1088,#7CFF0A,7505,#7CFF0A,,Chorrillos,Lima,Servicios Generales y Transportes Renacimiento S.A. (SGTRENSA),SGTRENSA
actual,Rutas 1000,1089,#E80202,7601,#E80202,La 24,San Juan de Miraflores,Lince,Agrupación de Transportistas en Camionetas S.A. (ATCRSA),ATCRSA
actual,Rutas 1000,1090,#E00202,7606,#E00202,La C,Chorrillos,San Isidro,Empresa de Transportes Unidos Chama S.A.,
actual,Rutas 1000,1091,#1465A3,7607,#1465A3,La 160,San Juan de Miraflores,La Victoria,Empresa de Transportes y Servicios Múltiples 160 S.A.C.,
actual,Rutas 1000,1092,#C4100A,7610,#C4100A,Ninguna,Chorrillos,La Victoria,Empresa de Transportes y Servicios Múltiples San Genaro S.A. (ETSEMUSAGESA),ETSEMUSAGESA
actual,Rutas 1000,1093,#0F0F0F,7612,#0F0F0F,La I,San Juan de Miraflores,San Isidro,Empresa de Transportes y Servicios Múltiples Sur Primero de Junio S.A.C. (ETPRIJUSAC),ETPRIJUSAC
actual,Rutas 1000,1094,#0016A3,7613,#0016A3,La C,San Juan de Miraflores,Miraflores,Empresa de Transportes Unidos Doce de Noviembre S.A. (ETUSA),ETUSA
actual,Rutas 1000,1095,#0DBD7C,7614,#0DBD7C,La 57,Chorrillos,Miraflores,Empresa de Transporte Servicios Turismo e Inversiones Norteamérica S.A.C.,
actual,Rutas 1000,1096,#FFFF1C,8302/CH24,#FFFF1C,La B - La Banchero,Villa El Salvador,San Juan de Lurigancho,Empresa de Transportes Luis Banchero Rossi S.A. (LUBARSA),LUBARSA
actual,Rutas 1000,1097,#7C47A1,8306,#7C47A1,La 10E,Villa El Salvador,San Juan de Lurigancho,Empresa de Transportes Santo Cristo de Pachacamilla S.A. (ETRASCPSA),ETRASCPSA
actual,Rutas 1000,1098,#E3B03F,8308,#E3B03F,La 08 - La L,Lurín,San Juan de Lurigancho,Empresa de Transporte Urbano Línea 4 S.A. (ETUL4SA),ETUL4SA
actual,Rutas 1000,1099,#F4F78F,8403,#F4F78F,La 9 - La Banchero,Villa María del Triunfo,Jesús Maria,Empresa de Transportes Luis Banchero Rossi S.A. (LUBARSA),LUBARSA
actual,Rutas 1100,1100,#E3B03F,8404,#E3B03F,La P,Villa María del Triunfo,Huaycán,Empresa de Transporte Urbano Línea 4 S.A. (ETUL4SA),ETUL4SA
actual,Rutas 1100,1107,#59D3FF,8513,#59D3FF,La C,Villa El Salvador,Lima,Empresa de Transportes Montenegro S.A.C. (ETMOSAC),ETMOSAC
actual,Rutas 1100,1108,#0C5700,8520,#0C5700,La 23A,Villa el Salvador,Lima,Empresa de Servicios de Transporte Santa Catalina S.A. (ESTSACASA),ESTSACASA
actual,Rutas 1100,1109,#276913,8523,#276913,La 25,Villa María del Triunfo,Miraflores,Empresa de Transportes Esfuerzos Unidos S.A. (ETEUSA),ETEUSA
actual,Rutas 1100,1110,#FF0000,8524,#FF0000,La G,Pachacámac,Lima,Empresa de Transportes Unidos Chama S.A.,
actual,Rutas 1100,1111,#ACCB56,8525,#ACCB56,La 73A,Villa María del Triunfo,Lima,Empresa de Transportes Unidos de Pasajeros S.A. (ETUPSA),ETUPSA
actual,Rutas 1100,1112,#21CBD1,8602,#21CBD1,,Pachacámac,La Victoria,Red Lima Móvil S.A.,
actual,Rutas 1100,1113,#009FE3,8604,#009FE3,,Villa María del Triunfo,Miraflores,Translima S.A.,
actual,Rutas 1100,1114,#0008FF,8605,#0008FF,La D2,Villa El Salvador,San Isidro,Empresa de Transportes y Servicios Los Ángeles del Perú S.A.C. (ETRAPERSAC),ETRAPERSAC
