codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,alias,color_hex
8617,1119,Villa El Salvador,Miraflores,Agrupación de Transportistas en Camionetas S.A. (ATCRSA),La D,#E80202
8618,1120,Pachacámac,La Victoria,Real Star del Perú S.A.C.,La 190,#D6B618
8619,1121,Villa El Salvador,La Victoria,Consorcio Línea 3 S.A.C.,La A,#27C716
8621,1122,Villa El Salvador,La Victoria,Lapso S.A.,La 6,#FFFF00
8626,1123,Pachacámac,Miraflores,Empresa de Transportes Unidos Chama S.A.,La A,#DF3322
8703,1124,Villa María del Triunfo,Surquillo,Empresa de Transportes Expreso Tablada Y Asociados S.A.C.,Ninguno,#FFB12B
8704,1125,Villa María del Triunfo,Surquillo,Empresa de Transportes Purca Gabriel Cora Cora S.A.,Ninguno,#0DE7FF
8711,1126,Lurín,Surquillo,Villa Alejandro S.A.,Ninguno,#398F00
8714,1127,Lurín,Surquillo,Empresa de Transportes y Servicios Múltiples Esmirla Zevallos S.A.,Ninguno,#FF0505
8729,1128,Pachacámac,Santiago de Surco,Carrocerías Rivera S.A.C.,La G - La 65,#68BCEB
8803,1129,Pachacámac,Pachacámac,Empresa de Transportes y Servicios San Juan de Dios S.A. (ETSAJUDSA),La A - La B,#05096E
9503,1130,Carmen de la Legua,Lima,Empresa de Transportes Once de Noviembre S.A. (EMPTONSA),Ninguno,#20BA2F
9601,1131,Ventanilla,La Victoria,Empresa de Transportes y Servicios Virgen de La Puerta S.A. (VIPUSA),La D,#0ABF16
9605,1132,Callao,La Victoria,Empresa de Transporte y Servicios Múltiples Satélite S.A. (ETRASEMUSSA),El Urbanito,#004F08
CR04,1133,La Punta,Lima,Empresa de Transportes Señor del Mar S.A. (ETSMARSA),Ninguno,#8D17E8
CR07,1134,Callao,La Perla,Empresa de Transportes y Servicios La Estrella S.A.C. (ETSESAC),La A,#3189CC
CR09,1135,Callao,Lima,Empresa de Transportes Mariscal Ramón Castilla S.A.,La 105,#BDBDBD
CR10,1136,Callao,Lima,Consorcio Nueva Unión S.A.,La 120,#8C6043
CR12,1137,Carabayllo,La Victoria,Empresa de Transportes y Servicios San Antonio S.A.,Ninguno,#DF2222
CR17,1138,Carabayllo,San Miguel,Multiservicios e Inversiones Chimpum Callao S.A.,Ninguno,#F7FF0F
CR27,1139,Comas,Pueblo Libre,Consorcio Grupo Uvita S.A.C.,Ninguno,#391170
CR30,1140,Callao,Lima,Empresa de Transportes y Servicios Milagroso Inmaculado Señor Cautivo de Ayabaca S.A. (ETMISCASA),Ninguno,#A322BD
CR31,1141,Callao,Santiago de Surco,Empresa de Transportes del Fondo Colectivo de Ayuda Mutua S.A. (ETFOCAMSA),Ninguno,#BA0707
CR32,1142,Ventanilla,Lima,Empresa de Transporte y Servicios Proyecto 7 S.A.,Ninguno,#F5D50A
CR38,1143,Callao,Santiago de Surco,Gruplan S.A.,La 524,#FFE642
CR40,1144,Callao,Lima,Empresa de Transportes y Servicios Conexos Néstor Gambetta S.A.,Ninguna,#38B6FF
CR43,1145,Carabayllo,La Victoria,Empresa de Transportes y Servicios Callao S.A. (TRANSCALLAO),Ninguno,#D6CBC1
CR45,1146,La Punta,Lima,Empresa de Transportes San Benito de Palermo S.A. (ETSABEPSA),Ninguno,#EDB313
CR46,1147,La Punta,Lima,Empresa de Transportes y Servicios Generales Colonial S.A.,Ninguno,#FF00A2
CR47,1148,Callao,Lima,Multiservicios de Buses de Waylluy S.A. (Multibus Way S.A.),Ninguno,#941212
CR48,1149,Callao,Lima,Multiservicios de Buses de Waylluy S.A. (Multibus Way S.A.),Ninguno,#035220
CR52,1150,Callao,Lima,Empresa de Transportes 102 S.A.,Ninguno,#EFFF12
CR56,1151,Ventanilla,Lima,Empresa de Transportes Mi Perú Ventanilla S.A. (EPTEVESA),Ninguno,#AD3A10
CR61,1152,Ventanilla,Lima,Empresa de Servicios de Transportes Lima Ventanilla Turismo S.A.C. (LIVENTUR),Ninguno,#136919
CR62,1153,Carabayllo,Carabayllo,Empresa de Transportes San Ignacio de Loyola S.A. (ETRASILSA),Ninguno,#400707
CR69,1154,Carabayllo,Pueblo Libre,Consorcio Briza,Ninguno,#100C8F
CR78,1155,Callao,Lima,Grupo Holrex S.A. / Holding Real Express S.A,Ninguno,#FF860D
ICR02B,1156,Callao,Lima,Empresa de Transportes y Servicios Nuevo Reynoso S.A. (ETYSNURSA),Ninguno,#00EEFF
IM19,1157,Ventanilla,Lima,Cooperativa de Servicios Especiales Transportes Sol y Mar Ltda.,Ninguno,#255710
IM20,1158,Ventanilla,Lima,Servicio Interconectado de Transporte S.A.C. (SIT),Ninguno,#FFFFF1
IM21,1159,Callao,Jesús María,Translima S.A.,La 21,#0099FF
IM34B,1160,Ventanilla,Ate,Multiservicios e Inversiones Chimpum Callao S.A.,La OP,#FF872B
IM40,1161,Callao,Ate,Empresa de Transportes Víctor Raúl Haya de La Torre S.A. (ETVRHTSA),La 89,#37880B
IM47,1162,Callao,San Miguel,Consorcio Briza,Ninguno,#8C0B01
IO14,1163,Mi Perú,Santiago de Surco,Corporación Avagon S.A.C.,La SV,#37FFD7
IO19,1164,Callao,Independencia,Cooperativa de Transportes Corazón de Jesús Ltda. (CTCJ),Ninguno,#000880
IO38,1165,Los Olivos,Callao,Consorcio Briza,Ninguno,#0011FF
IO44,1166,Carabayllo,San Miguel,Empresa de Transportes Vía Bus S.A.C. (ETVIBUSAC),Ninguno,#032DFF
IO45,1167,Carabayllo,Callao,Consorcio Briza,Ninguno,#634941
IO47,1168,Ventanilla,Lince,Inversiones y Servicios Múltiples La Nueva Estrella S.A.C. / Corporación Las Estrellas S.A.C.​,El Anconero,#FFA305
IO75B,1169,Mi Perú,Lima,Transportes y Servicios Cielo Mar y Tierra S.A. (ETCIMATISA),Ninguno,#808080
OM09,1170,Callao,Lima,Perla Argentina S.A. (PASA),La 93,#18D6C9
OM16,1171,Santa Rosa,La Victoria,Empresa de Transportes Álamo Express S.A. (ETALEXSA) / Consorcio Santa Bárbara S.A. (COSBASA),La DC - La SB,#00B8FF
OM23,1172,San Martín de Porres,Rímac,Corporación Empresa de Transportes Urbano Niño Jesús S.A. (ETUNIJESA),Ninguno,#078ED1
OM32,1173,San Martín de Porres,Santiago de Surco,Consorcio Movil Express S.A / Empresa de Transportes Santa Rosa de Lima S.A. (ETRASLISA),La 9V,#0CBE00
OM33,1174,San Martín de Porres,San Martín de Porres,Corporación Inversiones Los Ángeles del Perú S.A. (CILAP),La D1,#FF0000
1308,1175,Puente Piedra,San Juan de Lurigancho,Empresa de Transportes Pegasso Express S.A.,La P,#02A9FD
1404,1176,Comas,Ate,Empresa de Transportes Virgen de La Puerta S.A. (EVIPUSA),La 6M - La Collique,#FF9E00
1411,1177,Carabayllo,Ate,Transportes Cruz del Centro S.A.,La 02,#002FC9
1412,1178,Carabayllo,Ate,Empresa de Transportes La Encantada S.A.,La E,#02A9FD
1701,1179,Ancón,Santiago de Surco,Empresa de Transportes Turismo e Inversiones Señor de La Soledad S.A. (SESOSA),El Anconero,#BABABA
1702,1180,Carabayllo,San Juan de Miraflores,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),La A,#FA8E00
1703,1181,Puente Piedra,Chorrillos,Empresa de Transportes Perú S.A.C.,La 70,#247506
1704,1182,Carabayllo,San Juan de Miraflores,Vencedores C&P Inversiones S.A.C.,La V,#3B68FF
1706,1183,Carabayllo,Santiago de Surco,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,La A,#A6411A
1801,1184,Santa Rosa,Pachacámac,Empresa de Transportes Edilberto Ramos S.A.C. (ETERSAC),La B39 - La C,#00B8FF
1802,1185,Puente Piedra,Villa El Salvador,Empresa de Transportes Urbano Los Chinos S.A. (ETUCHISA),La A - El Chino,#00B8FF
,1186,Ancón,Pachacámac,Empresa de Transportes y Servicios Virgen de La Puerta S.A. (VIPUSA),La A - el Anconero,#27781A
2303,1187,San Martín de Porres,San Juan de Lurigancho,Empresa de Transportes Señor Nazareno S.A.,Ninguno,#FFA305
2404,1189,San Martín de Porres,La Molina,Empresa de Transportes y Servicios El Inti S.A. (ETINSA),La 35B,#239911
2405,1190,San Martín de Porres,Santa Anita,Empresa de Servicios y Transportes Inversiones El Rápido S.A. (ESTIRSA),Ninguno,#0839FF
2406,1191,San Martín de Porres,Ate,Empresa de Transportes y Servicios Múltiples Los Excelentes Unidos S.A.,La 35A,#085E02
2407,1192,Independencia,Ate,Empresa de Transportes y Servicios El Sol de Santa Clara S.A. (ETISSA),Ninguno,#FFEE00
2408,1193,Independencia,Ate,Empresa de Transportes Virgen de la Concepción S.A. (ETVIRCOSA),La 148,#A31E0F
2409,1194,San Martín de Porres,Ate,Empresa Virgen de Fátima S.A. (EVIFASA),La B,#A5C5EB
2411,1195,San Martín de Porres,Lurigancho/Chosica,Empresa de Transportes y Servicios El Rápido S.A. / Grupo Empresarial El Rápido S.A.,La 42 - El Rápido,#D90000
2414,1196,Los Olivos,Santa Anita,Transportes Cruz del Centro S.A.,La A,#0006CC
2701,1197,San Martín de Porres,Santiago de Surco,Empresa de Transportes Diecisiete de Junio S.A. (ETRADIJUSA),La 44A,#EB1515
2703,1199,San Martín de Porres,Chorrillos,Empresa de Transportes 36 San Martín de Porres S.A. (ET36SMPSA),La 36,#F5CC6C
2803,1200,Lince,Villa María del Triunfo,Transportes Ingaruca S.A.C. (TRAINSAC) / Transportes 17 de Noviembre S.A.,La 9A,#169E11
3203,1203,San Juan de Lurigancho,San Martín de Porres,Transportes e Inversiones San Germán S.A. (TISGSA),La C - La 128 - La San Germán,#FF00C3
3205,1204,San Juan de Lurigancho,San Martín de Porres,Empresa de Transportes y Servicios Huancayo City S.A. (ETHUCSA 2H),La 2H,#F0F3AF
3502,1205,El Agustino,San Miguel,Empresa de Transporte y Servicios Vargasant S.A.C. / Empresa de Transporte y Servicios Niño Emanuel S.A.C.,La E,#FFFF39
3507,1207,San Juan de Lurigancho,San Miguel,Empresa de Transportes y Servicios La Huayrona S.A.,La C1,#FF9900
4102,1210,Santa Anita,Carabayllo,San Felipe Express S.A.,Ninguno,#0E07D9
4210,1214,Ate,San Martín de Porres,Empresa de Transportes Virgen de La Asunción S.A. (ETVASA),La 32A,#45FFA2
4506,1218,Ricardo Palma,San Miguel,Empresa de Transportes y Servicios Lima Chosica S.A. (ETYSLCHSA),El Chosicano,#D61A1A
4512,1219,Lurigancho/Chosica,San Miguel,Vargasant S.A.C.,La B,#FFF945
4513,1220,Lurigancho/Chosica,Lima,Empresa de Transportes y Servicios Peralitos S.A.,Ninguno,#FF1919
4516,1221,Ate,San Miguel,Empresa de Transportes y Servicios Los Expertos y Somos Más S.A.,La 20,#B80422
4901,1222,Lurigancho/Chosica,Callao,Empresa de Transportes y Servicios San Cristóbal Palcamayo S.A.,La 19 - La N,#AD9600
4902,1223,Ate,Callao,Transportes Pesqueros S.A.,La 129B,#21917F
4904,1224,Ate,Callao,Empresa de Transportes Gocarive 19 S.A.,La 19,#FFD500
4905,1225,Ate,Callao,Empresa de Transportes Álamo Express S.A. (ETALEXSA),La C - La 01,#00B8FF
4908,1226,Ate,Callao,Empresa de Transportes El Carmen de la Punta S.A. (ETCAPSA),La 71B,#7D0202
4911,1227,Ate,Callao,Empresa de Transportes y Servicios Almirante Miguel Grau S.A. (ETSAMIGSA),Ninguno,#30A130
4913,1228,Huaycán,La Perla,Empresa de Transportes y Servicios Santa Rosa de Lima S.A. (ETSRLSA),La H - La Z,#4FA500
5303,1229,San Miguel,El Agustino,Empresa de Transportes Próceres S.A.,La M,#FFFF00
7101,1230,Chorrillos,Carabayllo,Empresa de Servicios Múltiples Fénix 2000 S.A. / Transportes Huáscar S.A.,La 03,#FFD600
7103,1231,Chorrillos,Carabayllo,Empresa de Transportes, Servicios, Comercializadora, Importadora y Exportadora Machu Pichu S.A.,La 35,#0011FF
7202,1232,San Juan de Miraflores,San Martín de Porres,Empresa de Transportes San Juan de La Cruz S.A.C. / Transportes y Servicios Lima Chorrillos S.A. (TRANSLICSA),La A,#F70707
7204,1233,San Juan de Miraflores,San Martín de Porres,Empresa de Transportes y Servicios San Pedro de Pamplona S.A.,La P1,#FF640A
7504,1234,San Juan de Miraflores,La Perla,Empresa de Transportes La Unidad de Villa S.A.,La W,#00DB34
8102,1235,Pachacámac,Carabayllo,Empresa de Transportes Salamanca Parral S.A. (ETSPSA),La S,#2C6632
8104,1236,Villa El Salvador,Carabayllo,Grupo Express del Perú S.A.C. (GEP) / Empresa de Transportes Multiservicios Importadora y Exportadora San Francisco de Asís de Los Olivos S.A. (ETSAFRASA),La 40,#E30000
8105,1237,Villa El Salvador,Carabayllo,Empresa de Transportes y Servicios El Rápido S.A. / Grupo Empresarial El Rápido S.A.,La 5,#D10F0F
8107,1238,Villa El Salvador,Carabayllo,San Felipe Express S.A.,La C,#091080
8108,1239,Villa El Salvador,Puente Piedra,Empresa de Servicios Múltiples El Cóndor S.A.C. / Empresa de Transportes Urbano Los Chinos S.A. (ETUCHISA),La C,#00B8FF
8109,1240,Pachacámac,Ancón,Empresa de Transportes y Servicios Virgen de la Puerta S.A. (VIPUSA),La A,#39913C
8110,1241,Lurín,Carabayllo,Empresa de Transportes Roluesa S.A.C.,La C,#00B8FF
8111,1242,Pachacámac,Ancón,Empresa de Servicios Múltiples Nuevo Perú S.A.,La C,#0BB8FF
8112,1243,Villa El Salvador,Carabayllo,Trans. Norcom Corporation S.A.C. / Rápido Transurbano S.A.C. / Grupo Empresarial El Rápido S.A.,La C,#D90000
8201,1244,Pachacámac,San Martín de Porres,Empresa de Transportes Unidos de Pasajeros S.A. (ETUPSA),La 73-1,#ACCB56
8205,1245,Villa María del Triunfo,San Martín de Porres,Empresa de Servicio Especial de Transporte San Judas Tadeo S.A,Ninguno,#A89574
8209,1246,Villa María Del Triunfo,San Martin de Porres,Empresa de Transportes Simón Bolívar S.A. (ETSIBOSA),La C,#00B8FF
8211,1247,Villa María del Triunfo,San Martín de Porres,Empresa de Transportes Sur Express S.A.,La G,#00EABB
8212,1248,Pachacámac,San Martin de Porres,Real Star del Perú S.A.C.,La A - La C,#00B8FF
8214,1249,Villa María del Triunfo,San Martin de Porres,Empresa de Transportes y Servicios Salvador S.A.C. (ETSSSAC),La 15C,#FF8F1F